                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0463,                 1.8916,                0.98859,                0.98384,                0.92457,                0.97459,                0.79952,                0.72161,                 1.0718,                0.90083,             0.00027543,             0.00027543,             0.00027543
                      2,                0.71767,                0.67997,                0.88432,                0.97512,                0.97121,                0.98584,                0.83104,                 0.6203,                0.55479,                0.87141,             0.00054944,             0.00054944,             0.00054944
                      3,                0.63007,                0.57549,                0.86639,                0.99006,                0.97718,                0.99223,                0.85817,                0.54527,                0.43674,                0.85058,             0.00081979,             0.00081979,             0.00081979
                      4,                0.58709,                0.52461,                0.85572,                0.98922,                 0.9818,                 0.9931,                0.88027,                0.50209,                0.39451,                0.84373,             0.00081651,             0.00081651,             0.00081651
                      5,                 0.5629,                 0.4962,                0.85014,                0.98652,                0.98185,                0.99354,                 0.8873,                0.50975,                0.40615,                 0.8398,             0.00081651,             0.00081651,             0.00081651
                      6,                0.53806,                0.45801,                0.84424,                0.98973,                0.99048,                0.99418,                  0.903,                0.43187,                0.33523,                0.83154,             0.00081101,             0.00081101,             0.00081101
                      7,                0.51287,                 0.4331,                0.83846,                0.99168,                0.99344,                0.99458,                0.89952,                0.44647,                0.34809,                0.83249,             0.00080551,             0.00080551,             0.00080551
                      8,                  0.504,                0.42115,                0.83697,                0.98785,                0.98922,                0.99411,                0.91132,                0.43665,                0.32466,                 0.8292,             0.00080001,             0.00080001,             0.00080001
                      9,                0.48602,                0.40136,                 0.8362,                0.99298,                0.99137,                 0.9945,                0.92055,                0.40552,                0.30236,                0.82395,             0.00079452,             0.00079452,             0.00079452
                     10,                0.48333,                0.38537,                0.83162,                0.99206,                0.99261,                0.99466,                0.91262,                0.42298,                0.31536,                0.82621,             0.00078902,             0.00078902,             0.00078902
                     11,                0.47072,                0.37197,                0.82971,                0.99366,                0.99093,                0.99457,                0.92523,                0.38571,                0.29595,                0.82301,             0.00078352,             0.00078352,             0.00078352
                     12,                0.45147,                0.35808,                0.82903,                0.99356,                0.99235,                0.99466,                0.91553,                0.40688,                0.28954,                0.82406,             0.00077802,             0.00077802,             0.00077802
                     13,                0.44421,                0.34942,                0.82335,                 0.9905,                 0.9923,                0.99439,                0.92923,                 0.3657,                0.27315,                0.81695,             0.00077252,             0.00077252,             0.00077252
                     14,                0.43907,                0.33986,                0.82384,                0.99398,                0.99351,                0.99458,                0.92782,                0.37995,                0.26775,                0.82249,             0.00076703,             0.00076703,             0.00076703
                     15,                0.44154,                0.33749,                0.82495,                0.99262,                0.99408,                 0.9945,                0.93677,                0.34385,                0.25887,                0.81404,             0.00076153,             0.00076153,             0.00076153
                     16,                0.42794,                0.32544,                0.82088,                0.99151,                0.99495,                0.99467,                0.93907,                0.35339,                0.26217,                0.81282,             0.00075603,             0.00075603,             0.00075603
                     17,                0.43018,                0.32181,                0.82253,                0.99398,                 0.9946,                0.99469,                0.94428,                0.34583,                0.26127,                0.81224,             0.00075053,             0.00075053,             0.00075053
                     18,                0.42331,                0.31384,                0.81992,                0.99376,                0.99582,                0.99471,                0.94316,                0.32868,                0.24529,                0.81217,             0.00074504,             0.00074504,             0.00074504
                     19,                 0.4181,                 0.3092,                 0.8209,                0.99482,                0.99472,                0.99468,                0.94073,                0.35272,                0.25165,                0.81244,             0.00073954,             0.00073954,             0.00073954
                     20,                0.40662,                0.30161,                0.81657,                0.99095,                 0.9909,                0.99446,                0.93958,                0.33769,                0.24273,                0.80962,             0.00073404,             0.00073404,             0.00073404
                     21,                0.40586,                0.30204,                0.81802,                0.99354,                0.99437,                0.99464,                0.94406,                0.33212,                0.24364,                 0.8108,             0.00072854,             0.00072854,             0.00072854
                     22,                 0.4023,                0.29888,                 0.8166,                0.99253,                0.99591,                0.99456,                0.94697,                0.34767,                0.25546,                0.81288,             0.00072304,             0.00072304,             0.00072304
                     23,                0.40364,                0.29534,                0.81894,                0.99277,                0.99507,                0.99471,                0.94146,                0.35098,                0.24878,                0.81135,             0.00071755,             0.00071755,             0.00071755
                     24,                 0.3969,                0.29012,                0.81452,                0.99454,                0.99483,                0.99465,                0.94482,                0.33762,                0.24339,                0.81083,             0.00071205,             0.00071205,             0.00071205
                     25,                0.38921,                0.28396,                0.81423,                0.99294,                0.99608,                0.99472,                 0.9544,                0.30751,                0.22526,                0.80759,             0.00070655,             0.00070655,             0.00070655
                     26,                0.38754,                0.28096,                0.81376,                0.99494,                0.99513,                0.99481,                0.94788,                0.32356,                0.22299,                0.80875,             0.00070105,             0.00070105,             0.00070105
                     27,                 0.3809,                0.27851,                0.81299,                0.99266,                0.99546,                0.99476,                 0.9481,                0.31193,                0.21665,                0.80564,             0.00069556,             0.00069556,             0.00069556
                     28,                0.37692,                0.27389,                 0.8136,                0.99558,                0.99428,                0.99478,                0.94971,                 0.3117,                0.21833,                0.80416,             0.00069006,             0.00069006,             0.00069006
                     29,                0.37622,                0.27329,                0.81102,                0.99381,                0.99547,                0.99473,                 0.9537,                0.30457,                 0.2132,                0.80374,             0.00068456,             0.00068456,             0.00068456
                     30,                0.37459,                0.27203,                0.81024,                0.99388,                0.99514,                0.99474,                0.95028,                0.30993,                0.21564,                 0.8033,             0.00067906,             0.00067906,             0.00067906
                     31,                0.37901,                0.27194,                 0.8101,                0.99596,                0.99589,                0.99487,                0.95917,                0.30879,                0.21262,                0.80277,             0.00067356,             0.00067356,             0.00067356
                     32,                  0.372,                0.26782,                0.81072,                0.99718,                0.99132,                0.99478,                0.94899,                0.31541,                0.22018,                0.80654,             0.00066807,             0.00066807,             0.00066807
                     33,                0.37098,                0.26655,                0.80895,                0.99626,                0.99672,                0.99491,                0.95635,                0.29544,                0.21454,                 0.8023,             0.00066257,             0.00066257,             0.00066257
                     34,                0.37299,                0.26737,                0.81154,                0.99713,                0.99484,                0.99486,                0.95546,                0.29985,                0.21091,                0.80153,             0.00065707,             0.00065707,             0.00065707
