                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7899,                 3.0192,                 1.6016,                0.03222,                0.85294,                0.07794,                 0.0311,                 1.5547,                 2.9897,                 1.5779,                      0,                      0,                      0
                      2,                 1.7316,                 3.0097,                 1.5487,                0.03444,                0.91176,                0.07352,                0.03301,                 1.5535,                 2.9855,                 1.5756,             1.9921e-05,             1.9921e-05,             1.9921e-05
                      3,                 1.8115,                 2.8465,                 1.6976,                0.03444,                0.91176,                0.07093,                0.03191,                 1.5517,                 2.9832,                 1.5703,             3.9683e-05,             3.9683e-05,             3.9683e-05
                      4,                 1.8522,                 2.9964,                 1.6485,                0.03556,                0.94118,                 0.0558,                0.03354,                 1.5504,                   2.98,                 1.5667,             5.9287e-05,             5.9287e-05,             5.9287e-05
                      5,                 1.8769,                 3.0201,                 1.6298,                0.03556,                0.94118,                 0.0926,                0.04599,                 1.4953,                 2.9555,                 1.5029,             7.8733e-05,             7.8733e-05,             7.8733e-05
                      6,                 1.6714,                  2.881,                 1.5561,                0.03556,                0.94118,                0.14251,                0.07187,                 1.4268,                  2.949,                 1.4413,              9.802e-05,              9.802e-05,              9.802e-05
                      7,                 1.5939,                  2.614,                   1.46,                0.03778,                      1,                0.15938,                0.08644,                 1.3831,                 2.9313,                 1.4082,             0.00011715,             0.00011715,             0.00011715
                      8,                 1.4497,                 2.5093,                 1.4042,                0.03778,                      1,                0.21199,                0.10113,                 1.3809,                 2.9102,                 1.3961,             0.00013612,             0.00013612,             0.00013612
                      9,                 1.7146,                 2.6555,                 1.4314,                0.03778,                      1,                0.26924,                0.12157,                 1.3297,                 2.8696,                 1.3319,             0.00015493,             0.00015493,             0.00015493
                     10,                 1.4497,                 2.4263,                 1.3351,                0.03778,                      1,                 0.2628,                0.13516,                 1.3346,                 2.7881,                 1.2817,             0.00017358,             0.00017358,             0.00017358
                     11,                 1.3938,                 2.1511,                 1.2851,                0.03778,                      1,                0.37108,                0.18423,                 1.3766,                 2.6816,                 1.2437,             0.00019208,             0.00019208,             0.00019208
                     12,                 1.3345,                 1.7998,                 1.2277,                0.03778,                      1,                0.38127,                 0.2035,                 1.4099,                 2.6027,                 1.2443,             0.00021042,             0.00021042,             0.00021042
                     13,                 1.3733,                 1.6495,                 1.2734,                0.11047,                0.73419,                0.41035,                0.23838,                 1.4573,                 2.5492,                  1.261,              0.0002286,              0.0002286,              0.0002286
                     14,                 1.5427,                 1.6114,                 1.2963,                0.80563,                0.12262,                0.46855,                0.27103,                  1.445,                 2.4857,                 1.2472,             0.00024662,             0.00024662,             0.00024662
                     15,                 1.3341,                 1.2878,                 1.1843,                0.95357,                0.23529,                0.56796,                0.32898,                  1.483,                 2.3875,                 1.2379,             0.00026448,             0.00026448,             0.00026448
                     16,                 1.3276,                 1.2199,                 1.1831,                      1,                0.23489,                0.59817,                0.34779,                  1.467,                 2.3374,                 1.2253,             0.00028218,             0.00028218,             0.00028218
                     17,                 1.4181,                 1.2438,                 1.2265,                      1,                0.27796,                0.65881,                0.37888,                 1.3954,                 2.2819,                  1.216,             0.00029972,             0.00029972,             0.00029972
                     18,                 1.2932,                 1.2089,                 1.2549,                0.90855,                0.29237,                0.66664,                0.37736,                 1.4389,                 2.2853,                  1.263,             0.00031711,             0.00031711,             0.00031711
                     19,                 1.4819,                 1.1881,                 1.2317,                0.93175,                0.40197,                0.68753,                0.38296,                 1.4521,                 2.2474,                 1.2877,             0.00033434,             0.00033434,             0.00033434
                     20,                 1.4116,                 1.1599,                 1.2457,                0.93175,                0.40197,                0.68753,                0.38296,                 1.4521,                 2.2474,                 1.2877,             0.00035141,             0.00035141,             0.00035141
                     21,                 1.2055,                 1.1471,                 1.1979,                0.86253,                0.36958,                0.62581,                0.33358,                 1.4699,                 2.2804,                 1.3112,             0.00036832,             0.00036832,             0.00036832
                     22,                 1.1131,                 1.0472,                 1.1175,                0.86253,                0.36958,                0.62581,                0.33358,                 1.4699,                 2.2804,                 1.3112,             0.00038507,             0.00038507,             0.00038507
                     23,                 1.1744,                 1.0612,                 1.1893,                0.85764,                0.35447,                0.62118,                 0.3265,                 1.4901,                 2.2565,                 1.3239,             0.00040167,             0.00040167,             0.00040167
                     24,                 1.2637,                 1.1043,                 1.1851,                0.85764,                0.35447,                0.62118,                 0.3265,                 1.4901,                 2.2565,                 1.3239,              0.0004181,              0.0004181,              0.0004181
                     25,                 1.0652,                 1.0794,                 1.1374,                0.79036,                0.33309,                0.60835,                0.30345,                 1.5479,                 2.2671,                 1.3521,             0.00043438,             0.00043438,             0.00043438
                     26,                 1.1098,                 1.0106,                 1.1497,                0.79036,                0.33309,                0.60835,                0.30345,                 1.5479,                 2.2671,                 1.3521,              0.0004505,              0.0004505,              0.0004505
                     27,                 1.1257,                 1.0025,                 1.1835,                0.80122,                0.32353,                0.59815,                0.28793,                 1.5771,                   2.33,                 1.4218,             0.00046646,             0.00046646,             0.00046646
                     28,                  1.316,                 1.1965,                 1.1952,                0.80122,                0.32353,                0.59815,                0.28793,                 1.5771,                   2.33,                 1.4218,             0.00048226,             0.00048226,             0.00048226
                     29,                  1.442,                 1.4376,                 1.3005,                0.63586,                0.32353,                0.61196,                0.35438,                 1.4554,                 2.0533,                 1.2991,             0.00049791,             0.00049791,             0.00049791
                     30,                 1.2835,                 1.1313,                 1.2048,                0.63586,                0.32353,                0.61196,                0.35438,                 1.4554,                 2.0533,                 1.2991,             0.00051339,             0.00051339,             0.00051339
                     31,                 1.4041,                 1.3049,                 1.2464,                0.70258,                0.34766,                0.69333,                0.39699,                 1.4623,                  1.892,                 1.2921,             0.00052872,             0.00052872,             0.00052872
                     32,                 1.2785,                 1.0765,                 1.1956,                0.70258,                0.34766,                0.69333,                0.39699,                 1.4623,                  1.892,                 1.2921,             0.00054389,             0.00054389,             0.00054389
                     33,                 1.2106,                 1.0756,                 1.2239,                0.61186,                0.41176,                0.67176,                0.39461,                  1.415,                 1.8096,                 1.2669,              0.0005589,              0.0005589,              0.0005589
                     34,                  1.296,                 1.0276,                 1.2237,                0.61186,                0.41176,                0.67176,                0.39461,                  1.415,                 1.8096,                 1.2669,             0.00057375,             0.00057375,             0.00057375
                     35,                 1.3915,                 1.0954,                 1.2289,                0.60672,                0.54473,                 0.7361,                0.38751,                 1.4887,                 1.7881,                 1.3252,             0.00058844,             0.00058844,             0.00058844
                     36,                 1.2765,                0.95047,                 1.1587,                0.60672,                0.54473,                 0.7361,                0.38751,                 1.4887,                 1.7881,                 1.3252,             0.00060298,             0.00060298,             0.00060298
                     37,                   1.22,                0.98448,                 1.1947,                0.57996,                0.60931,                0.71327,                0.35476,                 1.5318,                 1.8656,                 1.3776,             0.00061736,             0.00061736,             0.00061736
                     38,                 1.1713,                0.92873,                 1.1239,                0.57996,                0.60931,                0.71327,                0.35476,                 1.5318,                 1.8656,                 1.3776,             0.00063158,             0.00063158,             0.00063158
                     39,                 1.1504,                0.95505,                 1.1342,                0.46403,                0.58824,                0.53803,                0.31591,                 1.4821,                 1.9502,                  1.371,             0.00064564,             0.00064564,             0.00064564
